content,date,location,like_count,source,total_media_shared,retweet_count,month_year,clearcontent
@WHO @WHOThailand @WHOSEARO @WHOWPRO Stool is not mentioned in the list of specimens to collect https://t.co/8ql1bXiaRN In #SARS there was virus in stool and fecal shedding was considered a source of infection. Worth investigating as well from symptomatic patients #coronavirus #nCoV #WuhanPneumonia,2020-01-16,"Geneva, Switzerland",2,Twitter Web App,0,1,2020-01,who whothailand whosearo whowpro stool is not mentioned in the list of specimens to collect in sars there was virus in stool and fecal shedding was considered a source of infection worth investigating as well from symptomatic patients coronavirus ncov wuhanpneumonia
"New case of the novel #coronavirus  detected in Japan. @WHOWPRO said 'It is not surprising that there are cases outside of China, and it is possible that there will be cases in other countries in the future.' 

This is where all the preparation comes into action.",2020-01-16,@wellcometrust,4,Twitter Web App,0,2,2020-01,new case of the novel coronavirus detected in japan whowpro said it is not surprising that there are cases outside of china and it is possible that there will be cases in other countries in the future this is where all the preparation comes into action
"#Coronavirus – What we know about the new China virus
https://t.co/j6hqiYUwS4",2020-01-16,Kochi,1,TweetDeck,0,1,2020-01,coronavirus what we know about the new china virus
"The health ministry (@MHLWitter) confirms the first case of the new coronavirus in Japan.

https://t.co/hq0iPuLoNL
#coronavirus #MHLW https://t.co/Djt8a9ZngM",2020-01-16,"Tokyo, Japan",5,Twitter Web App,1,7,2020-01,the health ministry mhlwitter confirms the first case of the new coronavirus in japan coronavirus mhlw
"A Japanese man who visited China recently has been confirmed as the first patient in Japan to be infected with the coronavirus, the country's health ministry said on Thursday (January 16) #Wuhan #coronavirus #TheNationThailand

https://t.co/AZUO17g2DA",2020-01-16,Bangkok Thailand,2,Twitter Web App,0,3,2020-01,a japanese man who visited china recently has been confirmed as the first patient in japan to be infected with the coronavirus the countrys health ministry said on thursday january 16 wuhan coronavirus thenationthailand
"#WHO says new China #coronavirus could spread, warns hospitals worldwide
https://t.co/9IVNnzIpIM",2020-01-16,Kochi,0,TweetDeck,0,0,2020-01,who says new china coronavirus could spread warns hospitals worldwide
Cases of the novel #Coronavirus causing #WuhanPneumonia have been reported in Japan and Thailand over the past few days.,2020-01-16,"Maine, USA",1,Twitter Web App,0,0,2020-01,cases of the novel coronavirus causing wuhanpneumonia have been reported in japan and thailand over the past few days
"China➡️Thailand
China➡️Japan. 
Something’s spreading &amp; it’s not a good thing. 
NHK reports #coronavirus has come to Japan from #Wuhan. 

https://t.co/XvHVd8UHvF

#WuhanPneumonia",2020-01-16,Tweets on Asia🌏 & USA  ,2,Twitter for iPhone,0,1,2020-01,chinathailand chinajapan somethings spreading amp its not a good thing nhk reports coronavirus has come to japan from wuhan wuhanpneumonia
"SARS-like #coronavirus spreads from #China to #Japan as epidemic fears grow
https://t.co/HD3fljVlbo",2020-01-16,London,0,TweetDeck,0,0,2020-01,sarslike coronavirus spreads from china to japan as epidemic fears grow
New form of #coronavirus from China reported in patient treated in Japan | CTV News ⁦@grahamslaughter⁩  https://t.co/zeEz3Ec5M9,2020-01-16,Toronto,2,Twitter for iPhone,0,3,2020-01,new form of coronavirus from china reported in patient treated in japan ctv news grahamslaughter
"#Japan confirms first case of new #coronavirus. A man living in Kanagawa, Japan has been diagnosed with #pneumonia after his return from a trip to #Wuhan in central China, NHK reported Wednesday. (File photo: Xinhua) https://t.co/cn8TClATdE",2020-01-16,"Beijing, China",9,Buffer,1,4,2020-01,japan confirms first case of new coronavirus a man living in kanagawa japan has been diagnosed with pneumonia after his return from a trip to wuhan in central china nhk reported wednesday file photo xinhua
"SARS-like #coronavirus spreads from #China to #Japan as epidemic fears grow
https://t.co/HD3fljDJMO",2020-01-16,London,0,TweetDeck,0,0,2020-01,sarslike coronavirus spreads from china to japan as epidemic fears grow
"#NSTworld: #Japan has confirmed the first case of infection from the new #China #coronavirus.

https://t.co/DmYEMKiR4A",2020-01-16,Malaysia,5,TweetDeck,0,12,2020-01,nstworld japan has confirmed the first case of infection from the new china coronavirus
Okay so now we have spread of the #WuhanPneumonia to #Thailand and #Japan. I wonder how many other places it has spread? #Wuhan #coronavirus,2020-01-16,Global Citizen ,10,Twitter for iPhone,0,2,2020-01,okay so now we have spread of the wuhanpneumonia to thailand and japan i wonder how many other places it has spread wuhan coronavirus
"#Japan confirms 1st case of infection with new #coronavirus from #China 
#WuhanPneumonia #WuhanCluster #Wuhan
https://t.co/eTmTnzUtxf",2020-01-16,"Brisbane, Australia",101,Twitter Web Client,0,106,2020-01,japan confirms 1st case of infection with new coronavirus from china wuhanpneumonia wuhancluster wuhan
The Japanese national had travelled to Wuhan in eastern #China where the #coronavirus outbreak began https://t.co/HD3fljVlbo,2020-01-16,London,1,TweetDeck,0,2,2020-01,the japanese national had travelled to wuhan in eastern china where the coronavirus outbreak began
#Japan confirms first case of infection with the new #coronavirus from #China. https://t.co/uJ3LzdT0WM,2020-01-16,"Washington, DC ",19,Twitter Web App,0,30,2020-01,japan confirms first case of infection with the new coronavirus from china
"A Chinese man has tested positive in Japan's first case of a new #coronavirus from China, the Japanese health ministry says

https://t.co/OMQxtgNmJk",2020-01-16,"Tokyo, Japan",4,TweetDeck,0,11,2020-01,a chinese man has tested positive in japans first case of a new coronavirus from china the japanese health ministry says
"BREAKING SARS-like #coronavirus spreads from #China to #Japan as epidemic fears grow
https://t.co/HD3fljVlbo",2020-01-16,London,1,TweetDeck,0,1,2020-01,breaking sarslike coronavirus spreads from china to japan as epidemic fears grow
"Japan has confirmed its first case of infection with a new #coronavirus from China, a government official says.

https://t.co/OMQxtgNmJk",2020-01-16,"Tokyo, Japan",0,TweetDeck,0,6,2020-01,japan has confirmed its first case of infection with a new coronavirus from china a government official says
"Second family cluster found in #Wuhan novel #coronavirus outbreak
#WuhanCluster #WuhanPneumonia

https://t.co/udL0Hflgfj",2020-01-16,"Brisbane, Australia",14,Twitter for Android,0,9,2020-01,second family cluster found in wuhan novel coronavirus outbreak wuhancluster wuhanpneumonia
"Chinese #coronavirus continues to spread with #Wuhan at the epicentre and despite rumours of a new #SARS, there has been no confirmed human-to-human transmissions.

Read more in this Asia Watch issue: https://t.co/dxjnv8r0cG
#APFCanada #AsiaWatch #AsiaWatch2020 #cdnpoli https://t.co/QtbVqFotXb",2020-01-17,"Vancouver, BC, Canada",1,Twitter Web App,1,0,2020-01,chinese coronavirus continues to spread with wuhan at the epicentre and despite rumours of a new sars there has been no confirmed humantohuman transmissions read more in this asia watch issue apfcanada asiawatch asiawatch2020 cdnpoli
"🧻 Throw the used tissue into a closed bin immediately after use
🧼 Clean hands with soap and water or alcohol-based handrub after coughing or sneezing 🤧 and when caring for the sick

#coronavirus",2020-01-17,"Geneva, Switzerland",344,Twitter for iPhone,0,282,2020-01,throw the used tissue into a closed bin immediately after use clean hands with soap and water or alcoholbased handrub after coughing or sneezing and when caring for the sick coronavirus
"Xi visits #Myanmar for #BRI ambitions, #US #EU and #Japan target #China, Chinese #coronavirus spreads, and Japan Minister criticized for taking paternity leave.

Read more in this Asia Watch issue: https://t.co/dxjnv8r0cG
#APFCanada #AsiaWatch #AsiaWatch2020 #cdnpoli https://t.co/pxfpQc6VVq",2020-01-17,"Vancouver, BC, Canada",2,Hootsuite Inc.,1,0,2020-01,xi visits myanmar for bri ambitions us eu and japan target china chinese coronavirus spreads and japan minister criticized for taking paternity leave read more in this asia watch issue apfcanada asiawatch asiawatch2020 cdnpoli
"RT WHO: Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome … https://t.co/Ydcqg3wPeI",2020-01-17,"New Delhi, India",0,IFTTT,1,0,2020-01,rt who q what is a coronavirus a coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as middle east respiratory syndrome mers and severe acute respiratory syndrome
Report: “Fears mysterious and deadly Chinese virus could spread to Indonesia” https://t.co/6tlvjOqIKp via @MailOnline | #Bali #2019nCoV #Wuhan #WuhanPneumonia #coronavirus,2020-01-17,Tweets on Asia🌏 & USA  ,2,Twitter for iPhone,0,0,2020-01,report fears mysterious and deadly chinese virus could spread to indonesia via mailonline bali 2019ncov wuhan wuhanpneumonia coronavirus
"Protect others from getting sick:
2⃣ Completely cover your mouth &amp; nose with a tissue or a sleeve or flexed elbow when coughing or sneezing 🤧

#coronavirus https://t.co/mFnUq685xT",2020-01-17,"Geneva, Switzerland",444,Twitter for iPhone,1,373,2020-01,protect others from getting sick 2 completely cover your mouth amp nose with a tissue or a sleeve or flexed elbow when coughing or sneezing coronavirus
"How to handwash?
Use 🧼 and water for at least 40-60 seconds

How to handrub?
Use alcohol-based handrub 🧴 for 20-30 seconds 

#coronavirus https://t.co/aguCZSe0lX",2020-01-17,"Geneva, Switzerland",944,Twitter for iPhone,2,858,2020-01,how to handwash use and water for at least 4060 seconds how to handrub use alcoholbased handrub for 2030 seconds coronavirus
We need drugs for coronavirus...like now. See the link below for some context and some sciart that I made. Fun. #sciart #scicomm #blogs #WuhanPneumonia #coronavirus #bats #zoonoses,2020-01-17,"Chapel Hill, NC",10,Twitter for iPhone,0,2,2020-01,we need drugs for coronaviruslike now see the link below for some context and some sciart that i made fun sciart scicomm blogs wuhanpneumonia coronavirus bats zoonoses
"Have you heard about the new virus detected in #China 🇨🇳 ?

The #coronavirus are a large family of viruses that cause illness ranging 
from the common cold to more severe diseases.

👉 Learn more: https://t.co/mAewgIZTu7 

#HealthForAll @WHO @UN https://t.co/hqH5JOKz99",2020-01-17,Americas,8,TweetDeck,1,11,2020-01,have you heard about the new virus detected in china the coronavirus are a large family of viruses that cause illness ranging from the common cold to more severe diseases learn more healthforall who un
"The US start reacting to the #coronavirus from #Wuhan. In less than 20 days after a case of pneumonia in China, tho outbreak is getting high attention all over the world. Worrying. @ifrc",2020-01-17,"Geneva, Switzerland",7,Twitter for iPhone,0,3,2020-01,the us start reacting to the coronavirus from wuhan in less than 20 days after a case of pneumonia in china tho outbreak is getting high attention all over the world worrying ifrc
"Wash your 🖐🏼 with 🧼 and running water when hands are visibly dirty.

If your 🖐🏼 are not visibly dirty, wash them with 🧼 and water or use an alcohol-based hand cleanser.

#coronavirus https://t.co/rjsmKwm9Tv",2020-01-17,"Geneva, Switzerland",524,Twitter for iPhone,1,391,2020-01,wash your with and running water when hands are visibly dirty if your are not visibly dirty wash them with and water or use an alcoholbased hand cleanser coronavirus
"Q: What can I do to protect myself from #coronavirus?

A: https://t.co/PKzKaO2yfK https://t.co/eNhlhR0PEq",2020-01-17,"Geneva, Switzerland",2004,Twitter for iPhone,1,1960,2020-01,q what can i do to protect myself from coronavirus a
Investigations into this novel #coronavirus are ongoing. Currently CDC is taking proactive preparedness precautions. #2019-nCoV https://t.co/8JzgLGFpeX,2020-01-17,"Atlanta, GA",2,Twitter Web App,1,3,2020-01,investigations into this novel coronavirus are ongoing currently cdc is taking proactive preparedness precautions 2019ncov
"Q: Is there a treatment for a novel #coronavirus infection?
A: There is no specific treatment for disease caused by a novel coronavirus. However, many of the symptoms can be treated and therefore treatment is based on the patient’s clinical condition https://t.co/PKzKaO2yfK https://t.co/QxNg634JdS",2020-01-17,"Geneva, Switzerland",259,Twitter for iPhone,1,200,2020-01,q is there a treatment for a novel coronavirus infection a there is no specific treatment for disease caused by a novel coronavirus however many of the symptoms can be treated and therefore treatment is based on the patients clinical condition
The latest Emergency Management Times! https://t.co/l0S4oCLqse Thanks to @lmh2010 @cinbee @CumberlandNC #cybersecurity #coronavirus,2020-01-17,"Washington, DC",0,Paper.li,0,0,2020-01,the latest emergency management times thanks to lmh2010 cinbee cumberlandnc cybersecurity coronavirus
"New @CDCgov screenings of passengers from Wuhan, China could give useful info on rapidly evolving situation with new #coronavirus. The newly recognized virus looks both less deadly and less readily spread - more to be learned in the coming days. https://t.co/XzyEkOye6d",2020-01-17,"New York, NY",2,Twitter Web App,0,3,2020-01,new cdcgov screenings of passengers from wuhan china could give useful info on rapidly evolving situation with new coronavirus the newly recognized virus looks both less deadly and less readily spread more to be learned in the coming days
"Travelers to the U.S. from Wuhan, China, will be screened for fevers, coughs or difficulty breathing, after a new pneumonia-like virus sickened dozens in Asia. CDC staffing up at LAX, SFO and JFK airports #coronavirus https://t.co/srijAVpsv6 @WSJ",2020-01-17,Los Angeles,0,Twitter Web Client,0,0,2020-01,travelers to the us from wuhan china will be screened for fevers coughs or difficulty breathing after a new pneumonialike virus sickened dozens in asia cdc staffing up at lax sfo and jfk airports coronavirus wsj
"@WHOThailand @WHOKobe @WHOSEARO @WHOWPRO Q: What are the symptoms of #coronavirus infection?

A: It depends on the virus, but common signs incl. respiratory symptoms, fever, cough, shortness of breath &amp; breathing difficulties. In more severe cases, it can cause pneumonia, severe acute respiratory syndrome, etc https://t.co/EGbXcZnkYy",2020-01-17,"Geneva, Switzerland",239,Twitter Web App,1,209,2020-01,whothailand whokobe whosearo whowpro q what are the symptoms of coronavirus infection a it depends on the virus but common signs incl respiratory symptoms fever cough shortness of breath amp breathing difficulties in more severe cases it can cause pneumonia severe acute respiratory syndrome etc
"Travelers from central #China at #LAX, #SFO and #JFK to be screened from today for new #coronavirus. https://t.co/RjDXZ8jWor",2020-01-17,"Washington, DC ",11,Twitter Web App,0,10,2020-01,travelers from central china at lax sfo and jfk to be screened from today for new coronavirus
"The CDC will start screening passengers arriving from Wuhan, China at JFK, LAX and SFO for symptoms of #WuhanPneumonia, the novel #coronavirus that has sickened more than 45 people, with 2 deaths.  https://t.co/Yp54KpfCIc",2020-01-17,"New York, NY",8,Twitter for iPhone,0,13,2020-01,the cdc will start screening passengers arriving from wuhan china at jfk lax and sfo for symptoms of wuhanpneumonia the novel coronavirus that has sickened more than 45 people with 2 deaths
"Travelers at 3 U.S. airports to be screened for new, potentially deadly Chinese virus  - after officials express concern about limited person-to-person transmission   #coronavirus #wuhan https://t.co/nGR489JjyO",2020-01-17,Toronto,0,Twitter Web Client,0,2,2020-01,travelers at 3 us airports to be screened for new potentially deadly chinese virus after officials express concern about limited persontoperson transmission coronavirus wuhan
"#Breaking | Airline passengers arriving at #SFO, #LAX and #JFK from the central Chinese city of Wuhan will be screened for #coronavirus, the pneumonialike illnesses that's already claimed lives. 

MORE: 
https://t.co/PgTL1dtadJ",2020-01-17,Everywhere,0,Twitter Web App,0,1,2020-01,breaking airline passengers arriving at sfo lax and jfk from the central chinese city of wuhan will be screened for coronavirus the pneumonialike illnesses thats already claimed lives more
"BREAKING: Travelers at 3 U.S. airports to be screened for new, potentially deadly Chinese virus. Applies to passengers on direct and connecting flights from central Chinese city of Wuhan. My story. #coronavirus (will be updated.)  https://t.co/R7kfegWavs",2020-01-17,"Washington, D.C.",7,Twitter Web Client,0,11,2020-01,breaking travelers at 3 us airports to be screened for new potentially deadly chinese virus applies to passengers on direct and connecting flights from central chinese city of wuhan my story coronavirus will be updated
"Fears are mounting that a new #coronavirus identified in China may spread, infecting not only humans but also the world's second-biggest economy already beset by a tit-for-tat trade war with the United States, writes our reporter @tomotachitomo

https://t.co/1CUX6K3gik",2020-01-17,"Tokyo, Japan",1,TweetDeck,0,1,2020-01,fears are mounting that a new coronavirus identified in china may spread infecting not only humans but also the worlds secondbiggest economy already beset by a titfortat trade war with the united states writes our reporter tomotachitomo
#BREAKING: @CDCgov will now screen airline passengers inbound from #Wuhan #China landing @JFKairport @flySFO @flyLAXairport for signs of #WuhanPneumonia #coronavirus #fnr,2020-01-17,"Miami, FL USA",4,Twitter Web App,0,1,2020-01,breaking cdcgov will now screen airline passengers inbound from wuhan china landing jfkairport flysfo flylaxairport for signs of wuhanpneumonia coronavirus fnr
"US CDC to start screening at airports for the coronavirus emerging from Wuhan, China.

While this is not the most efficient method to pick up infected individuals, it sends a signal that there may be more exported cases.

https://t.co/qoYRhpYRl6

#Wuhan #coronavirus",2020-01-17,University of Toronto,2,Twitter Web App,0,0,2020-01,us cdc to start screening at airports for the coronavirus emerging from wuhan china while this is not the most efficient method to pick up infected individuals it sends a signal that there may be more exported cases wuhan coronavirus
"@CDCgov announcing new screenings among people traveling to US from Wuhan, China to try to identify #coronavirus. Two things worth noting: so far the virus does not seem to spread easily and has not had as high severity as MERS or SARS. We’ll to learn more in the days to come.",2020-01-17,"New York, NY",2,Twitter Web App,0,0,2020-01,cdcgov announcing new screenings among people traveling to us from wuhan china to try to identify coronavirus two things worth noting so far the virus does not seem to spread easily and has not had as high severity as mers or sars well to learn more in the days to come
"Always something new out of the microbial world. 2 key issues: infectiousness/Ro and virulence/CFR. So far, newly recognized virus looks less readily spread &amp; less deadly than SARS or MERS. More will be learned in coming days. @CDC @CDCgov @CDCDirector #coronavirus",2020-01-17,"New York, NY",4,Twitter Web App,0,2,2020-01,always something new out of the microbial world 2 key issues infectiousnessro and virulencecfr so far newly recognized virus looks less readily spread amp less deadly than sars or mers more will be learned in coming days cdc cdcgov cdcdirector coronavirus
Now millions of chinese tourists are on #ChineseNewYear holidays in Thailand and elsewhere in the world. #Wuhan #coronavirus #GongXiFaCai,2020-01-17,"Wattana, Bangkok",0,Twitter for iPad,0,0,2020-01,now millions of chinese tourists are on chinesenewyear holidays in thailand and elsewhere in the world wuhan coronavirus gongxifacai
"@MailOnline highlighting our report on estimated cases of new #coronavirus coronavirus outbreak in Wuhan:

https://t.co/vVJmgZeJpC

by Natsuko Imai, @IlariaDorigatti, @dr_anne_cori, @SRileyIDD, and @neil_ferguson from @MRC_Outbreak, @imperialcollege, @Imperial_JIDEA",2020-01-17,Imperial College London,0,Twitter Web App,0,1,2020-01,mailonline highlighting our report on estimated cases of new coronavirus coronavirus outbreak in wuhan by natsuko imai ilariadorigatti drannecori srileyidd and neilferguson from mrcoutbreak imperialcollege imperialjidea
"@CDCgov stepping up monitoring of novel #coronavirus. 
Setting up screening at some airports. 
Good thread from @DonnaYoungDC",2020-01-17,New York,1,TweetDeck,0,0,2020-01,cdcgov stepping up monitoring of novel coronavirus setting up screening at some airports good thread from donnayoungdc
"Q: What is a novel #coronavirus?

A: A novel coronavirus, such as the 2019-nC0V, is a new strain of coronavirus that has not been previously identified in humans https://t.co/PKzKaO2yfK https://t.co/5jUPkCxUzw",2020-01-17,"Geneva, Switzerland",258,Twitter Web App,1,198,2020-01,q what is a novel coronavirus a a novel coronavirus such as the 2019nc0v is a new strain of coronavirus that has not been previously identified in humans
"'Scientists fear up to 4,500 Chinese patients may have caught the new #coronavirus as health chiefs in Wuhan confirm four more cases.'

https://t.co/P1m8CqmXBn",2020-01-17,Imperial College London,40,Hootsuite Inc.,0,34,2020-01,scientists fear up to 4500 chinese patients may have caught the new coronavirus as health chiefs in wuhan confirm four more cases
"Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) https://t.co/PKzKaO2yfK https://t.co/mhEa7LFVhx",2020-01-17,"Geneva, Switzerland",2491,Twitter Web App,1,2376,2020-01,q what is a coronavirus a coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as middle east respiratory syndrome mers and severe acute respiratory syndrome sars
"With reports that the novel #coronavirus discovered in Wuhan City, China, has been confirmed in Thailand &amp; now Japan, IDSA Global Health Committee Member Daniel Lucey, MD, FIDSA, continues providing outbreak updates on the @SciSpeaksBlog. https://t.co/Ps8jH2MLzB",2020-01-17,"Arlington, VA",2,Sprout Social,0,2,2020-01,with reports that the novel coronavirus discovered in wuhan city china has been confirmed in thailand amp now japan idsa global health committee member daniel lucey md fidsa continues providing outbreak updates on the scispeaksblog
New China virus spurs 24-hour output of surgical masks in Japan https://t.co/O937N6toUM #coronavirus #health,2020-01-17,"Tokyo, New York",14,SocialFlow,0,12,2020-01,new china virus spurs 24hour output of surgical masks in japan coronavirus health
"#ECDC risk assessment on the novel #coronavirus.

#nCoV2019 has been isolated and considered the causative agent of:
▪ the cluster of 41 #pneumonia cases in the area of #Wuhan, China
▪ three travel-related cases in #Thailand and #Japan.

Read the report: https://t.co/PlwEhaP8Jb https://t.co/drhRVRtgM5",2020-01-17,"Stockholm, Sweden",33,TweetDeck,1,41,2020-01,ecdc risk assessment on the novel coronavirus ncov2019 has been isolated and considered the causative agent of the cluster of 41 pneumonia cases in the area of wuhan china three travelrelated cases in thailand and japan read the report
WHO says new mysterious China #Coronavirus / Wuhan Pneumonia could spread. WHO informed the Health Ministry #SriLanka and other countries which are frequently visited by Chinese tourists and nationals to be cautious of the virus. #HealthSL #LKA  https://t.co/KViTxJQIbq https://t.co/OfKmVDndRN,2020-01-17,Sri Lanka,47,Twitter for Android,2,49,2020-01,who says new mysterious china coronavirus wuhan pneumonia could spread who informed the health ministry srilanka and other countries which are frequently visited by chinese tourists and nationals to be cautious of the virus healthsl lka
Really interesting analysis. Modelling suggests that there may be over 1000 cases linked to the outbreak in #Wuhan of the novel #coronavirus.,2020-01-17,@wellcometrust,8,Twitter for iPhone,0,2,2020-01,really interesting analysis modelling suggests that there may be over 1000 cases linked to the outbreak in wuhan of the novel coronavirus
"Thailand, following Japan, confirms the first case of Wuhan coronavirus outside China. https://t.co/f1BxZozMkC via @scmpnews #coronavirus #epidemic",2020-01-17,New York City,0,Twitter Web Client,0,0,2020-01,thailand following japan confirms the first case of wuhan coronavirus outside china via scmpnews coronavirus epidemic
"Mysterious Wuhan virus:

German researchers develop new test for the strain of coronavirus

#German #coronavirus 

Read more:

https://t.co/CtYJbX8om2

To watch the video:

https://t.co/AZedhcAmvs",2020-01-17,Asia Pacific,0,TweetDeck,0,0,2020-01,mysterious wuhan virus german researchers develop new test for the strain of coronavirus german coronavirus read more to watch the video
"A health counter with thermal scanner operationalized at Chhatrapati Shivaji #Mumbai International Airport, subsequent to advisory of @MoHFW_INDIA issued today regarding precautionary measures for Novel #coronavirus. 

@PMOIndia @drharshvardhan @AshwiniKChoubey @MoCA_GoI https://t.co/w6cG20UshO",2020-01-17,Nirman Bhawan,54,Twitter for Android,1,15,2020-01,a health counter with thermal scanner operationalized at chhatrapati shivaji mumbai international airport subsequent to advisory of mohfwindia issued today regarding precautionary measures for novel coronavirus pmoindia drharshvardhan ashwinikchoubey mocagoi
"Size of Wuhan outbreak of a novel #coronavirus estimated from the three cases detected outside China: Likely to be over 1000 cases. @imperialcollege @mrc_outbreaks report released today

🔰 https://t.co/7A77NXZ3iw https://t.co/u0dUnMs9hA",2020-01-17,Imperial College London,858,Twitter Web App,1,945,2020-01,size of wuhan outbreak of a novel coronavirus estimated from the three cases detected outside china likely to be over 1000 cases imperialcollege mrcoutbreaks report released today
"Display to travellers advising regarding #coronavirus activated at #Kolkata airport, subsequent to the advisory issued today by @MoHFW_INDIA.

#SwasthaBharat
@PMOIndia @drharshvardhan @AshwiniKChoubey @MoCA_GoI @AAI_Official @NITIAayog @PIB_India https://t.co/FmXJEoBUxJ",2020-01-17,Nirman Bhawan,37,Twitter for Android,2,12,2020-01,display to travellers advising regarding coronavirus activated at kolkata airport subsequent to the advisory issued today by mohfwindia swasthabharat pmoindia drharshvardhan ashwinikchoubey mocagoi aaiofficial nitiaayog pibindia
"#BIGNEWS: In the event of Novel #coronavirus outbreak in #China, Union Ministry of Health and Family Welfare issues travel advisory to people visiting China. https://t.co/bgA6UhnIVY",2020-01-17,NOIDA,6,Twitter Web App,1,2,2020-01,bignews in the event of novel coronavirus outbreak in china union ministry of health and family welfare issues travel advisory to people visiting china
"What is Coronavirus? 

Health Ministry issues travel advisory in wake of virus outbreak in China

#Coronavirus #China 

Read more:

https://t.co/xNbebfRbeV",2020-01-17,India,0,TweetDeck,0,0,2020-01,what is coronavirus health ministry issues travel advisory in wake of virus outbreak in china coronavirus china read more
"A first exploration for #nCoV2019  reservoir in absence of epidata: in vitro inf. of cell lines across species, as we've done w #MERS-CoV. Plenty of bat cells established #coronavirus #emergingviruses That is, if isolate is shared https://t.co/86LNGdTYBU, https://t.co/66unLFzMap",2020-01-17,"Geneva, Switzerland",5,Twitter Web App,0,0,2020-01,a first exploration for ncov2019 reservoir in absence of epidata in vitro inf of cell lines across species as weve done w merscov plenty of bat cells established coronavirus emergingviruses that is if isolate is shared
"India issues #travel advisory after WUhan #coronavirus outbreak:

https://t.co/bvdAIbeTli",2020-01-17,India,2,TweetDeck,0,4,2020-01,india issues travel advisory after wuhan coronavirus outbreak
"Corona Virus Alert: Travellers from China to be screened at Delhi, Mumbai, Kolkata airports

#coronavirus 
#Corona
#China 

https://t.co/xnLfld1u4J",2020-01-17,India,4,Twitter Web App,0,0,2020-01,corona virus alert travellers from china to be screened at delhi mumbai kolkata airports coronavirus corona china
"@AFPgraphics #UPDATE A second person has died in China from a mysterious SARS-linked virus that has stricken dozens and appeared in two other Asian countries, with a new case reported in Thailand on Friday https://t.co/A6VL7vA9xb #coronavirus https://t.co/7Jl8bUNkFa",2020-01-17,Around The World,19,TweetDeck,3,28,2020-01,afpgraphics update a second person has died in china from a mysterious sarslinked virus that has stricken dozens and appeared in two other asian countries with a new case reported in thailand on friday coronavirus
Coronavirus: 41 people are dead in China; Virus spreads in Japan; Read Details #Coronavirus #Pneumonia https://t.co/h6MVwlUFAA,2020-01-17,"Mumbai, India",4,PinkVilla,0,0,2020-01,coronavirus 41 people are dead in china virus spreads in japan read details coronavirus pneumonia
"#Coronavirus spread in #China: #India issues #travel advisory
https://t.co/Ffcxe6lpwP https://t.co/lqiJxuBiMW",2020-01-17,India,0,Twitter Web App,1,0,2020-01,coronavirus spread in china india issues travel advisory
"The Ministry has advised travellers to follow good personal hygiene, avoid travel to farms, live animal markets or where animals are slaughtered etc https://t.co/EGqzdUS3sq 
#coronavirus",2020-01-17,"Chennai, India",19,SocialFlow,0,6,2020-01,the ministry has advised travellers to follow good personal hygiene avoid travel to farms live animal markets or where animals are slaughtered etc coronavirus
"#ICYMI: Japan 🇯🇵 confirmed a case of novel #coronavirus (2019-nCoV) in a person who travelled to Wuhan, China. This is the second confirmed case of 2019-nCoV that has been detected outside of China.",2020-01-17,"Manila, Philippines",16,Twitter for Android,0,7,2020-01,icymi japan confirmed a case of novel coronavirus 2019ncov in a person who travelled to wuhan china this is the second confirmed case of 2019ncov that has been detected outside of china
"Health Ministry reviews preparedness for Novel Corona Virus (nCoV).

#coronavirus

https://t.co/GzORCcgxd6

@PMOIndia @drharshvardhan @AshwiniKChoubey @NITIAayog @PIB_India @DDNewslive @MoCA_GoI",2020-01-17,Nirman Bhawan,22,Twitter for Android,0,13,2020-01,health ministry reviews preparedness for novel corona virus ncov coronavirus pmoindia drharshvardhan ashwinikchoubey nitiaayog pibindia ddnewslive mocagoi
#Coronavirus back in China — what you need to know about the virus and its deadly history | @revathii95 explains https://t.co/NTdoYQR9dv,2020-01-17,,0,TweetDeck,0,0,2020-01,coronavirus back in china what you need to know about the virus and its deadly history revathii95 explains
"Just in | Health ministry issues travel advisory for those travelling to China after one person each in Thailand and Japan have reportedly tested positive for the #coronavirus after returning from China.
- @BShajan reports",2020-01-17,"Chennai, India",23,TweetDeck,0,7,2020-01,just in health ministry issues travel advisory for those travelling to china after one person each in thailand and japan have reportedly tested positive for the coronavirus after returning from china bshajan reports
"Novel #coronavirus outbreak in #China: Travel Advisory to travelers visiting China.
@MoHFW_INDIA https://t.co/ZzndLh15mY",2020-01-17,,4,Twitter Web App,1,7,2020-01,novel coronavirus outbreak in china travel advisory to travelers visiting china mohfwindia
Health Ministry issues advisory to travellers visiting #China in view of #CoronaVirus outbreak https://t.co/9nestugQQ5,2020-01-17,"New Delhi, India",51,Twitter Web App,1,17,2020-01,health ministry issues advisory to travellers visiting china in view of coronavirus outbreak
